applicability,service,reporting_period,category_of_illegal_content,sub_category_other,num_notices_received,num_notices_trusted_flaggers,num_items_in_notices,num_items_trusted_flaggers,median_time_to_action,median_time_to_action_tf,num_actions_law,num_actions_law_tf,num_actions_tc,num_actions_tc_tf
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_PHISHING,,1.0,0.0,1.0,0.0,37.4,0.0,0.0,0.0,1.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,1.0,0.0,1.0,0.0,65.82,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_COORDINATED_HARM,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,7543.0,0.0,4491.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Only for providers of hosting services, including online platforms",Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,23.0,0.0,23.0,0.0,16.81,0.0,0.0,0.0,1.0,0.0
